Name,Ticker,<date>,<open>,<high>,<low>,<close>,<vol>
Brp Group Inc Cl A,BRP,20200911,27.7,27.7,26.66,27.05,190000
Big Rock Partners Acquisition Corp WT,BRPAW,20200911,0.1902,0.245,0.1901,0.2341,3900
Borqs Technologies Inc,BRQS,20200911,1.07,1.0899,1.01,1.01,278200
Berry Pete Corp,BRY,20200911,3.76,3.81,3.35,3.36,365600
Invesco Bulletshares 2021 USD EM Debt ETF,BSAE,20200911,25.45,25.45,25.45,25.45,200
Invesco Bulletshares 2022 USD Emerging Markets D,BSBE,20200911,25.84,25.97,25.84,25.97,1600
Bogota Financial Corp,BSBK,20200911,7.2001,7.8686,7.2,7.75,57100
Bs 2020 Corp Bond Invesco ETF,BSCK,20200911,21.22,21.235,21.22,21.23,196000
Bs 2021 Corp Bond Invesco ETF,BSCL,20200911,21.35,21.36,21.34,21.36,292200
Bs 2022 Corp Bond Invesco ETF,BSCM,20200911,21.86,21.88,21.85,21.88,265700
Bs 2023 Corp Bond Invesco ETF,BSCN,20200911,21.87,21.8899,21.86,21.86,204300
Bs 2024 Corp Bond Invesco ETF,BSCO,20200911,22.27,22.29,22.246,22.26,169500
Bs 2025 Corp Bond Invesco ETF,BSCP,20200911,22.45,22.48,22.41,22.48,85100
Bs 2026 Corp Bond Invesco ETF,BSCQ,20200911,21.82,21.82,21.75,21.76,31300
Bs 2027 Corp Bond Invesco ETF,BSCR,20200911,22.09,22.09,22.03,22.08,27900
Invesco Bulletshares 2028 Corporate Bond ETF,BSCS,20200911,23.24,23.28,23.18,23.2417,9800
Invesco 2029 Corporate Bond ETF,BSCT,20200911,21.485,21.6,21.47,21.5239,16900
Invesco Bulletshares 2024 USD Emerging Markets D,BSDE,20200911,26.1,26.17,26.1,26.17,800
Bassett Furniture,BSET,20200911,12.29,12.495,11.8,12.4,43900
Biosig Technologies,BSGM,20200911,7.15,7.275,6.8101,7.08,487500
Bs 2020 High Yield Corp Bond Invesco ETF,BSJK,20200911,23.38,23.3975,23.3703,23.39,60200
Bs 2021 High Yield Corp Bond Invesco ETF,BSJL,20200911,23.04,23.045,22.99,23.04,125000
Bs 2022 High Yield Corp Bond Invesco ETF,BSJM,20200911,22.93,22.94,22.88,22.93,96200
Bs 2023 High Yield Corp Bond Invesco ETF,BSJN,20200911,24.72,24.7435,24.66,24.74,77400
Bs 2024 High Yield Corp Bond Invesco ETF,BSJO,20200911,24.31,24.34,24.27,24.34,27700
Bs 2025 High Yield Corp Bond Invesco ETF,BSJP,20200911,23.66,23.7,23.63,23.69,35400
Invesco Bulletshares 2026 High Yield Corporate B,BSJQ,20200911,24.8,24.83,24.745,24.83,19600
Invesco 2027 High Yield Corporate Bond ETF,BSJR,20200911,24.749,24.75,24.6534,24.75,1600
Invesco Bulletshares 2021 Municipal Bond ETF,BSML,20200911,25.3367,25.36,25.3367,25.345,2100
Invesco Bulletshares 2022 Municipal Bond ETF,BSMM,20200911,25.4,25.435,25.4,25.42,1700
Invesco Bulletshares 2023 Municipal Bond ETF,BSMN,20200911,25.6,25.605,25.58,25.58,1900
Invesco Bulletshares 2024 Municipal Bond ETF,BSMO,20200911,25.66,25.67,25.621,25.635,3700
Invesco Bulletshares 2025 Municipal Bond ETF,BSMP,20200911,25.83,25.89,25.7946,25.795,10100
Invesco Bulletshares 2026 Municipal Bond ETF,BSMQ,20200911,25.53,25.59,25.53,25.53,3500
Invesco Bulletshares 2028 Municipal Bond ETF,BSMS,20200911,25.77,25.78,25.73,25.73,2300
Bsquare Corp,BSQR,20200911,1.4269,1.4524,1.385,1.39,26400
Sierra Bancorp,BSRR,20200911,17.53,17.6737,17.43,17.52,23200
Biospecifics Tech Cp,BSTC,20200911,55,56.62,53.11,54.49,42800
Bank7 Corp,BSVN,20200911,9.72,9.72,9.6,9.66,1600
Bioxcel Therapeutics Inc,BTAI,20200911,44.51,46.38,43.8,44.94,303800
Burgundy Technology Acquisition Corp,BTAQU,20200911,9.96,9.98,9.96,9.96,117400
Golden Bull Limited,BTBT,20200911,4.12,4.58,4.12,4.58,29800
Principal Healthcare Innovators Index,BTEC,20200911,43.02,43.02,42.13,42.44,8000
Global X Cybersecurity ETF,BUG,20200911,21.36,21.36,20.72,20.965,30000
First Busey Corp,BUSE,20200911,17.08,17.08,16.73,16.85,108300
Biondvax Pharma Ads,BVXV,20200911,43,43.001,37.06,38.51,188400
Brainsway Ltd ADR,BWAY,20200911,6.02,6.11,5.824,5.95,12500
Bridgewater Bancshares Inc,BWB,20200911,9.55,9.62,9.4,9.5,31600
Broadwind Energy Inc,BWEN,20200911,3.45,3.52,3.16,3.31,153800
Bankwell Financial,BWFG,20200911,15.55,15.6,15.15,15.16,3700
Betterware DE Mexico Da DE Cv,BWMX,20200911,20.45,22.49,20.45,22,148100
Baudax Bio Inc,BXRX,20200911,3.3,3.31,3.04,3.16,276000
Broadway Fin Cp,BYFC,20200911,1.52,1.56,1.48,1.52,282500
Beyond Meat Inc,BYND,20200911,144,144.07,132.45,134.88,3989200
Beyondspring Inc,BYSI,20200911,13.94,14.3,13.32,13.38,77300
Baozun Inc Ads,BZUN,20200911,37.27,37.83,36.22,36.8,1021700
China Automotive Sys,CAAS,20200911,3.14,3.35,3.1,3.35,249900
Cabaletta Bio Inc,CABA,20200911,10.42,10.99,10.3201,10.65,55100
Camden Natl Cp,CAC,20200911,30.88,31.62,30.09,30.3,53000
Credit Acceptance,CACC,20200911,344.22,345.09,334.23,337.85,117400
Legg Clearbridge All Cap Growth ETF,CACG,20200911,39.01,39.01,38.39,38.5975,4100
Cheesecake Fact,CAKE,20200911,29.99,29.99,27.67,28.21,1831700
Calithera Biosci Com,CALA,20200911,3.6,3.8,3.53,3.63,606200
California Bancorp,CALB,20200911,12.44,12.44,12.12,12.12,4300
Cal-Maine Foods IN,CALM,20200911,38.22,39.1,37.8155,38.88,491500
Calliditas Therapeutics Ab ADR,CALT,20200911,22.58,22.8,22.24,22.54,55000
Calamp Corp,CAMP,20200911,8.44,8.45,8.32,8.38,178000
Camtek Ltd,CAMT,20200911,14.55,14.8,14.45,14.49,66000
Canaan Inc ADR,CAN,20200911,2.01,2.01,1.94,2,1303300
Highcape Capital Acquisition Corp,CAPAU,20200911,10.16,10.16,10.15,10.15,300
Capricor Therap,CAPR,20200911,4.73,4.93,4.5822,4.76,534300
Avis Budget Group,CAR,20200911,34.38,34.38,32.95,33.35,1317900
Cara Therapeutics,CARA,20200911,15.25,15.28,14.7763,14.91,396400
Carter Bank&Tr [Va],CARE,20200911,6.89,7.11,6.835,7.02,50000
Cargurus Inc Cl A,CARG,20200911,23.22,23.26,22.72,22.99,852300
Carver Bancorp,CARV,20200911,6.17,6.59,6.12,6.18,426600
Nasdaq Global Auto Index Fund FT,CARZ,20200911,38.45,38.84,38.42,38.56,7400
Casa Systems Inc,CASA,20200911,4.38,4.38,4.19,4.27,162100
Meta Financial Group,CASH,20200911,17.97,18.11,17.74,17.89,90000
Casi Phrmactcls Inc,CASI,20200911,1.61,1.68,1.6,1.625,147400
Cass Information Sys,CASS,20200911,37.99,37.99,36.62,36.87,39200
Casey's General Stor,CASY,20200911,177.56,181.44,175.87,179,281200
Catabasis Pharma,CATB,20200911,6.82,6.88,6.41,6.49,210300
Cambridge Bancorp,CATC,20200911,52.81,53.135,51.8,52.53,12800
G-X S&P 500 Catholic Values ETF,CATH,20200911,41.4762,41.4762,40.8181,41.14,8100
Cardtronics Inc,CATM,20200911,19.65,19.94,19.245,19.4,391300
Cathay Genl Bncp,CATY,20200911,23.18,23.36,22.9,23.13,258800
Colony Bankcorp Inc,CBAN,20200911,10.625,10.6306,10.45,10.45,3200
Cbak Energy Technology Inc,CBAT,20200911,0.68,0.7498,0.6671,0.7134,715300
Cymabay Therapeutics,CBAY,20200911,5.96,6.01,5.57,5.79,1223500
Cb Financial Svc,CBFV,20200911,19.6524,19.6524,18.965,19,5000
Catalyst Bio,CBIO,20200911,4.66,4.69,4.52,4.55,108500
Cleveland Biolabs,CBLI,20200911,1.88,2.38,1.88,2.33,1272500
Cbm Bancorp Inc,CBMB,20200911,12.06,12.06,12.02,12.02,15000
Cellular Biomedicine,CBMG,20200911,18.35,18.44,18.06,18.21,51200
Capital Bancorp Inc,CBNK,20200911,10.57,10.6,10.36,10.36,26700
China Biologic Produ,CBPO,20200911,106.03,107.32,106.03,107,81500
Cracker Barrel,CBRL,20200911,138.09,138.09,133.705,136.79,417600
Commerce Bancshares,CBSH,20200911,55.59,55.645,54.63,55.23,422000
Cbtx Inc,CBTX,20200911,16.68,17.2199,15.8,15.83,52800
Crescent Capital Bdc Inc.,CCAP,20200911,13.2,13.26,13.1494,13.19,11600
Coastal Financial Corp,CCB,20200911,14.78,14.87,14.2,14.61,8100
Capital City Bank Gr,CCBG,20200911,19.71,19.71,19.16,19.35,22500
China Ceramics Company,CCCL,20200911,2.11,2.18,2.0601,2.18,54000
Calams Dy Cnv IN,CCD,20200911,22.76,22.83,22.32,22.54,95200
CSI Compressco,CCLP,20200911,0.92,0.9745,0.92,0.9745,37200
Cabot Microelectron,CCMP,20200911,144.44,146.65,141.75,142.07,104100
Cnb Financial Corp,CCNE,20200911,15.51,15.74,15.14,15.56,54300
Cnb Financial Corp,CCNEP,20200911,25.65,25.65,25.65,25.65,1000
Cogent Comm Hlds,CCOI,20200911,65.44,66.22,64.73,65.59,299600
China Customer Ord,CCRC,20200911,4.76,5.34,4.76,4.98,20300
Cross Ctry Hlthcr,CCRN,20200911,6.09,6.12,5.96,5.985,160400
